date,city,scenario,temperature_f,precip_mm
1888-08,San Diego,ssp126,62.61,0.7197
1888-09,San Diego,ssp126,62.84,0.7172
1888-10,San Diego,ssp126,62.46,1.0988
1888-11,San Diego,ssp126,62.75,0.9603
1888-12,San Diego,ssp126,62.54,0.9647
1889-01,San Diego,ssp126,62.49,0.9656
1889-02,San Diego,ssp126,62.27,0.9628
1889-03,San Diego,ssp126,62.36,0.9638
1889-04,San Diego,ssp126,62.11,1.0383
1889-05,San Diego,ssp126,62.28,1.1864
1889-06,San Diego,ssp126,62.03,1.1312
1889-07,San Diego,ssp126,61.91,1.1311
1889-08,San Diego,ssp126,61.95,1.184
1889-09,San Diego,ssp126,61.76,1.1587
1889-10,San Diego,ssp126,62.24,0.802
1889-11,San Diego,ssp126,62.13,0.8776
1889-12,San Diego,ssp126,62.16,0.8921
1890-01,San Diego,ssp126,62.13,0.8968
1890-02,San Diego,ssp126,62.12,0.8969
1890-03,San Diego,ssp126,61.95,0.8968
1890-04,San Diego,ssp126,62.14,0.8454
1890-05,San Diego,ssp126,61.8,0.6438
1890-06,San Diego,ssp126,61.94,0.6529
1890-07,San Diego,ssp126,62.1,0.9851
1890-08,San Diego,ssp126,61.71,0.8598
1890-09,San Diego,ssp126,61.65,0.8523
1890-10,San Diego,ssp126,61.12,0.9929
1890-11,San Diego,ssp126,61.1,0.9521
1890-12,San Diego,ssp126,61.43,0.9254
1891-01,San Diego,ssp126,61.62,0.9153
1891-02,San Diego,ssp126,61.65,1.0654
1891-03,San Diego,ssp126,61.68,1.0781
1891-04,San Diego,ssp126,61.42,1.0481
1891-05,San Diego,ssp126,62.18,1.0252
1891-06,San Diego,ssp126,62.63,0.9048
1891-07,San Diego,ssp126,62.81,0.6658
1891-08,San Diego,ssp126,63.06,0.7155
1891-09,San Diego,ssp126,62.85,1.0352
1891-10,San Diego,ssp126,63.41,0.8551
1891-11,San Diego,ssp126,63.45,0.8324
1891-12,San Diego,ssp126,63.21,0.8381
1892-01,San Diego,ssp126,62.69,0.8415
1892-02,San Diego,ssp126,62.47,0.6944
1892-03,San Diego,ssp126,62.36,0.8114
1892-04,San Diego,ssp126,62.31,0.8218
1892-05,San Diego,ssp126,61.78,0.8877
1892-06,San Diego,ssp126,61.26,1.0513
1892-07,San Diego,ssp126,61.21,1.0731
1892-08,San Diego,ssp126,60.77,1.1049
1892-09,San Diego,ssp126,61.31,0.7895
1892-10,San Diego,ssp126,61.11,1.0819
1892-11,San Diego,ssp126,60.77,1.2048
1892-12,San Diego,ssp126,60.83,1.2796
1893-01,San Diego,ssp126,61.07,1.2793
1893-02,San Diego,ssp126,61.24,1.2757
1893-03,San Diego,ssp126,61.46,1.1456
1893-04,San Diego,ssp126,61.79,1.1444
1893-05,San Diego,ssp126,61.49,1.1373
1893-06,San Diego,ssp126,61.36,0.9863
1893-07,San Diego,ssp126,61.32,0.8787
1893-08,San Diego,ssp126,61.87,0.8447
1893-09,San Diego,ssp126,62.15,0.84
1893-10,San Diego,ssp126,62.0,0.7099
1893-11,San Diego,ssp126,62.58,0.5703
1893-12,San Diego,ssp126,62.49,0.5071
1894-01,San Diego,ssp126,62.74,0.5056
1894-02,San Diego,ssp126,63.22,0.5041
1894-03,San Diego,ssp126,63.0,0.5039
1894-04,San Diego,ssp126,62.87,0.493
1894-05,San Diego,ssp126,63.45,0.4341
1894-06,San Diego,ssp126,63.58,0.5414
1894-07,San Diego,ssp126,63.43,0.7154
1894-08,San Diego,ssp126,63.34,0.5998
1894-09,San Diego,ssp126,62.95,0.787
1894-10,San Diego,ssp126,63.03,0.7349
1894-11,San Diego,ssp126,62.72,0.8188
1894-12,San Diego,ssp126,62.53,0.8317
1895-01,San Diego,ssp126,62.13,0.8408
1895-02,San Diego,ssp126,61.74,0.8424
1895-03,San Diego,ssp126,61.96,0.8444
1895-04,San Diego,ssp126,61.97,0.8499
1895-05,San Diego,ssp126,61.65,0.8647
1895-06,San Diego,ssp126,61.52,0.7533
1895-07,San Diego,ssp126,61.75,0.6544
1895-08,San Diego,ssp126,61.41,0.8644
1895-09,San Diego,ssp126,61.12,0.861
1895-10,San Diego,ssp126,61.16,0.8632
1895-11,San Diego,ssp126,61.07,0.8148
1895-12,San Diego,ssp126,61.13,0.8133
1896-01,San Diego,ssp126,61.24,0.8117
1896-02,San Diego,ssp126,61.17,0.8126
1896-03,San Diego,ssp126,60.94,0.8105
1896-04,San Diego,ssp126,60.7,0.8053
1896-05,San Diego,ssp126,60.63,0.7954
1896-06,San Diego,ssp126,60.85,0.8778
1896-07,San Diego,ssp126,60.84,1.2678
1896-08,San Diego,ssp126,60.57,1.0885
1896-09,San Diego,ssp126,60.5,1.2944
1896-10,San Diego,ssp126,60.31,1.2639
1896-11,San Diego,ssp126,60.3,1.2534
1896-12,San Diego,ssp126,60.5,1.2259
1897-01,San Diego,ssp126,60.48,1.2196
1897-02,San Diego,ssp126,60.69,1.2191
1897-03,San Diego,ssp126,60.81,1.2184
1897-04,San Diego,ssp126,60.71,1.2376
1897-05,San Diego,ssp126,61.01,1.3714
1897-06,San Diego,ssp126,60.86,1.2983
1897-07,San Diego,ssp126,60.62,0.9986
